customer_city,city_rank
tucano,1251
nhandeara,1252
tiradentes,1253
bela vista de goias,1254
ruy barbosa,1255
bananeiras,1256
getulio vargas,1257
itapuranga,1258
alvares machado,1259
feira nova,1260
aripuana,1261
caetanopolis,1262
ortigueira,1263
soledade,1264
lima duarte,1265
confresa,1266
limoeiro,1267
pontal do parana,1268
sao sepe,1269
divinolandia,1270
nova russas,1271
cruzeiro do oeste,1272
nova prata do iguacu,1273
california da barra,1274
urania,1275
areal,1276
paraiso,1277
sitio novo do tocantins,1278
sapezal,1279
conquista,1280
mambore,1281
lagoa formosa,1282
nova olinda,1283
maracas,1284
afogados da ingazeira,1285
colonia castrolanda,1286
carai,1287
buriticupu,1288
pedregulho,1289
apiai,1290
ubajara,1291
lauro muller,1292
conceicao do araguaia,1293
sao joao do piaui,1294
cidade gaucha,1295
madre de deus,1296
sao joao do paraiso,1297
sao jose da lapa,1298
prudentopolis,1299
ouricuri,1300
sousa,1301
cabedelo,1302
arinos,1303
potiragua,1304
novo progresso,1305
cosmorama,1306
juruaia,1307
campinorte,1308
sao jose do norte,1309
japura,1310
cabreuva,1311
encruzilhada do sul,1312
angatuba,1313
cananeia,1314
ribeira do pombal,1315
sao miguel,1316
arceburgo,1317
casa nova,1318
ecoporanga,1319
comendador levy gasparian,1320
jari,1321
cristalina,1322
cruz,1323
presidente olegario,1324
acopiara,1325
catole do rocha,1326
cambuci,1327
dores de campos,1328
orleans,1329
aguas belas,1330
anicuns,1331
missal,1332
itapui,1333
sooretama,1334
rio largo,1335
bom conselho,1336
raposo,1337
rio novo do sul,1338
tejupa,1339
cachoeira alta,1340
santa rita do araguaia,1341
ourilandia do norte,1342
itapura,1343
conservatoria,1344
sao miguel do araguaia,1345
paraipaba,1346
parambu,1347
ipiranga,1348
itapejara d'oeste,1349
sao miguel do guapore,1350
silvania,1351
cachoeira de minas,1352
grajau,1353
santa maria madalena,1354
lajedo,1355
piripiri,1356
iacanga,1357
catende,1358
roque gonzales,1359
salto do lontra,1360
castelandia,1361
palmitinho,1362
rolim de moura,1363
santa cruz de minas,1364
barbosa ferraz,1365
casca,1366
ibira,1367
campo alegre,1368
saudades,1369
acailandia,1370
seabra,1371
moreno,1372
seara,1373
pirai do sul,1374
papagaios,1375
sete barras,1376
presidente bernardes,1377
abelardo luz,1378
igarapava,1379
sapucaia,1380
morungaba,1381
itaobim,1382
palmares do sul,1383
arapora,1384
terra rica,1385
pacaembu,1386
pacajus,1387
terra roxa,1388
barreiros,1389
itariri,1390
mundo novo,1391
chui,1392
soledade de minas,1393
araguatins,1394
ubirata,1395
padre carvalho,1396
simao dias,1397
timbauba,1398
mucuri,1399
rio pomba,1400
passo de torres,1401
ceu azul,1402
senges,1403
santa isabel do para,1404
camacan,1405
ceres,1406
cacapava do sul,1407
ribeirao bonito,1408
monte alegre do sul,1409
inconfidentes,1410
uruara,1411
sao domingos do norte,1412
jatoba,1413
cunha pora,1414
inhapim,1415
mallet,1416
jaru,1417
urbano santos,1418
formosa do rio preto,1419
porto xavier,1420
ivaipora,1421
joviania,1422
vila muriqui,1423
cruzeiro do sul,1424
sao jose da barra,1425
riachao do jacuipe,1426
arcoverde,1427
sao joao dos patos,1428
joao lisboa,1429
monte carlo,1430
fernando prestes,1431
nova santa rita,1432
santo cristo,1433
tabira,1434
sao joao evangelista,1435
sao domingos,1436
medina,1437
nova veneza,1438
dom eliseu,1439
dom feliciano,1440
campos belos,1441
inhambupe,1442
elias fausto,1443
severinia,1444
jacunda,1445
avanhandava,1446
ervalia,1447
tangua,1448
ribeirao claro,1449
paulo de faria,1450
jaragua,1451
engenheiro paulo de frontin,1452
sao francisco de paula,1453
entre rios,1454
reboucas,1455
itau de minas,1456
fronteira,1457
canavieiras,1458
sao jose do calcado,1459
buenopolis,1460
carlopolis,1461
barra do bugres,1462
sananduva,1463
cerro azul,1464
livramento de nossa senhora,1465
holambra ii,1466
alexania,1467
marechal floriano,1468
nova hartz,1469
irani,1470
tapes,1471
caninde,1472
barra do ribeiro,1473
campinas do sul,1474
jeremoabo,1475
paranaita,1476
jesuania,1477
arvorezinha,1478
cardoso moreira,1479
ascurra,1480
alto alegre do iguacu,1481
iguaracu,1482
dionisio cerqueira,1483
caldas,1484
iepe,1485
itaipulandia,1486
cardoso,1487
acu,1488
santa cruz da conceicao,1489
euclides da cunha,1490
barbalha,1491
esperanca,1492
piratuba,1493
cassia,1494
santa cruz,1495
nova esperanca do sul,1496
ibicarai,1497
presidente getulio,1498
sao sebastiao do alto,1499
pejucara,1500
miguel calmon,1501
barcarena,1502
sales oliveira,1503
campos de julio,1504
espigao do oeste,1505
iraquara,1506
irapuru,1507
camapua,1508
sabinopolis,1509
carmo da mata,1510
senador amaral,1511
candido godoi,1512
itaberai,1513
bataguassu,1514
brazopolis,1515
catigua,1516
mendonca,1517
catas altas,1518
santa fe de goias,1519
catanduvas,1520
jambeiro,1521
carmopolis de minas,1522
cambuquira,1523
ipueiras,1524
rio branco do sul,1525
guarei,1526
planaltina de goias,1527
quixeramobim,1528
quixabeira,1529
